cutoff,start,end,startT,endT,dur,xpos,ypos,flankdataloss,fracinterped,RMSxy,BCEA,fixRangeX,fixRangeY,participant
0.9106703538759566,11,51,36.627000000094995,173.26799999992363,136.64099999982864,88.95967483520508,-106.03574752807617,1.0,0.0,0.651002910246218,0.3707015266750271,0.38104204926205143,2.2140520309007714,Adult2
0.9106703538759566,59,141,196.66699999989942,473.2720000001136,276.6050000002142,-8.713073730468807,-75.47691106796265,0.0,0.0,0.7212183568131515,0.937292677131086,1.0030601848548513,3.163684347489885,Adult2
0.9106703538759566,144,661,479.877000000095,2206.3850000000093,1726.5079999999143,12.153253555297908,28.767246901988983,0.0,0.0,1.437248939640713,7.764369852768326,3.690026046940704,6.952466856401066,Adult2
0.9106703538759566,719,734,2396.30700000003,2449.6089999999385,53.30199999990873,226.14320755004883,-21.00613832473755,1.0,0.0,2.374447259248106,4.461428192560353,1.646885197476919,5.125415775394558,Adult2
0.9106703538759566,736,1051,2452.966000000015,3506.1729999999516,1053.2069999999367,-15.348215103149442,19.75842833518982,0.0,0.0,1.3288227766634546,8.986761249514725,3.8072395152183067,8.843641470305371,Adult2
0.9106703538759566,1055,1253,3516.2350000001024,4179.499000000069,663.2639999999665,74.09946441650379,-46.094008684158354,0.0,0.0,0.7752149687882041,1.0756566563881544,1.5255427429790467,4.154350595657105,Adult2
0.9106703538759566,1264,1296,4212.746999999974,4322.719000000041,109.97200000006706,832.2713470458983,11.938249468803406,0.0,0.0,0.8625975145117751,1.923436472842944,2.528481251102662,2.377524008972938,Adult2
0.9106703538759566,1301,1408,4336.0490000001155,4696.071999999927,360.0229999998119,662.8917789459229,51.738250851631165,0.0,0.0,0.9126075096299109,1.1708849263282337,1.5607287120160853,4.106973261633327,Adult2
0.9106703538759566,1412,1908,4706.034999999916,6362.476000000024,1656.441000000108,581.646022796631,52.753413319587736,0.0,0.0,0.7696561354625194,1.1015898148109091,1.1703135431283633,4.4325017229468875,Adult2
0.9106703538759566,1936,2021,6452.503000000026,6739.172999999952,286.6699999999255,599.1540813446045,-10.324136316776276,0.0,0.09302325581395349,0.6584199352028911,1.0307845267791693,1.292744402672641,3.43753671776304,Adult2
0.9106703538759566,2034,2088,6779.137000000104,6962.462999999989,183.32599999988452,-245.27615547180176,21.511611342430115,0.0,0.0,1.0680714922078756,2.8743054603153486,2.395421728519232,6.203199638202484,Adult2
0.9106703538759566,2145,2297,7149.046000000089,7658.986999999965,509.9409999998752,-153.05402755737305,91.9345486164093,0.0,0.0,1.1354765015407755,1.2625783484995101,1.8989017757833044,5.137416268366091,Adult2
