cutoff,start,end,startT,endT,dur,xpos,ypos,flankdataloss,fracinterped,RMSxy,BCEA,fixRangeX,fixRangeY,participant
1.0245382519299575,11,80,36.56800000008661,269.92800000007264,233.35999999998603,-19.637060165405273,-72.66327917575836,1.0,0.0,0.23724393292787388,0.08776738070644395,0.3313718693341207,0.7510042454630192,Adult1
1.0245382519299575,86,671,286.5030000000261,2239.7140000000363,1953.2110000000102,-1.110234260559082,-43.496605753898606,0.0,0.0,0.19551245624804295,0.2164786150654301,0.715626318011394,1.3535800940747775,Adult1
1.0245382519299575,678,761,2259.6720000000205,2539.6080000000075,279.93599999998696,141.77827835083008,-35.423955917358384,0.0,0.0,0.14629164896314253,0.066252162104944,0.6009613755549776,0.4173994911139359,Adult1
1.0245382519299575,768,850,2559.6419999999925,2836.2420000000857,276.60000000009313,68.53895187377935,-27.48756766319275,0.0,0.0,0.15403149605481462,0.051426231166068787,0.3097729124334981,0.531149016733869,Adult1
1.0245382519299575,856,993,2852.9130000000587,3312.8060000000987,459.89300000004005,40.603981018066435,-42.720927000045776,0.0,0.0,0.13655364844243706,0.0378042251712169,0.254964899101623,0.6486087633953594,Adult1
1.0245382519299575,1012,1220,3372.832999999984,4069.465000000084,696.6320000000997,614.0558624267578,-48.210657835006685,0.0,0.009569377990430622,0.1183549333378435,0.08832290911084606,0.7077173304813096,0.5910834144915458,Adult1
1.0245382519299575,1228,1308,4092.753000000026,4362.738000000012,269.98499999998603,656.9042587280273,-46.63483858108518,0.0,0.0,0.09690006026136401,0.04353631961908974,0.467932606431087,0.33626275580071024,Adult1
1.0245382519299575,1314,1422,4379.421000000089,4742.697000000044,363.27599999995437,614.9775695800782,-45.69512128829956,0.0,0.05504587155963303,0.09634383342329403,0.06202889019190209,0.53331847273853,0.3055046999534558,Adult1
1.0245382519299575,1428,1711,4759.381000000052,5705.859999999986,946.4789999999339,557.8541564941406,-40.711378455162034,0.0,0.007042253521126761,0.10944104163730474,0.19803135250742948,1.271840072825586,0.5512036151226992,Adult1
1.0245382519299575,1718,1784,5725.895000000019,5949.181000000099,223.2860000000801,578.4542083740234,-15.288623571395874,0.0,0.0,0.098892349088791,0.03214022276863722,0.3425734826956158,0.29168971108434133,Adult1
1.0245382519299575,1793,1937,5975.839000000036,6459.146000000066,483.3070000000298,508.52617263793945,-6.334932446479797,0.0,0.0,0.12417088626013388,0.0519244827395705,0.5073973176652986,0.39125946834901654,Adult1
1.0245382519299575,1945,1973,6482.435000000056,6579.097000000067,96.66200000001118,339.08935546875,-21.142770051956177,0.0,0.0,0.10117845572146449,0.04159397652555674,0.4248550322541345,0.20917283070497897,Adult1
1.0245382519299575,1982,2035,6605.758000000031,6785.795000000042,180.03700000001118,499.42797660827637,-34.880985617637634,0.0,0.0,0.10412469516234175,0.044351483015773754,0.3435455594385381,0.4226192223177487,Adult1
1.0245382519299575,2053,2219,6842.46100000001,7399.0070000001,556.5460000000894,-78.48567008972168,-49.318259954452486,0.0,0.0,0.1733849759116617,0.08993971054997074,0.8677844075239767,0.5710408500651452,Adult1
1.0245382519299575,2227,2313,7422.324000000022,7712.332000000053,290.00800000003073,21.137008666992188,-37.23962903022769,0.0,0.0,0.1986782674211476,0.07664912524645354,0.4150085767728967,0.7641630073183985,Adult1
1.0245382519299575,2320,2418,7732.277000000002,8062.277000000002,330.0,-42.89437294006353,-28.586736917495756,0.0,0.0,0.20723118193266696,0.12440934763335929,0.5953722685599228,0.68104330063358,Adult1
1.0245382519299575,2424,2747,8078.957999999984,9158.793000000063,1079.8350000000792,-10.662989616394043,-15.89131593704225,0.0,0.0,0.14825317134739718,0.28189204817825536,1.4478855777608093,0.815274630308592,Adult1
1.0245382519299575,2754,2803,9178.842999999993,9345.474000000046,166.63100000005215,17.50256538391116,-21.334891319274902,0.0,0.0,0.15832366041041826,0.04415535065947655,0.2365342170873099,0.521741466604574,Adult1
1.0245382519299575,2827,2920,9422.065999999992,9735.389000000083,313.32300000009127,-737.7246451377869,-10.27122974395752,0.0,0.0,0.11070327652907533,0.050180867545860514,0.6092979030280422,0.5260349587626394,Adult1
1.0245382519299575,2936,3081,9785.337000000058,10272.016999999993,486.6799999999348,-0.5503320693970295,7.181131839752197,0.0,0.0,0.1455895695659734,0.0894863385428064,0.6447068346467643,0.5905114252148167,Adult1
1.0245382519299575,3084,3147,10278.616000000038,10491.949000000022,213.33299999998417,-15.060210227966337,-20.63816606998445,0.0,0.0,0.17390842863335781,0.06799782691486816,0.47038552910630443,0.662625321135168,Adult1
1.0245382519299575,3166,3281,10551.967999999993,10938.639000000083,386.6710000000894,-646.7014074325562,-58.89231383800508,0.0,0.0,0.11919834231536577,0.03497673079146895,0.3521003696190052,0.4201244314815738,Adult1
1.0245382519299575,3288,3779,10958.572000000044,12598.426000000094,1639.8540000000503,-727.4362599849701,-37.24072337150572,0.0,0.008130081300813009,0.11677931286010963,0.1865829045547943,0.9720155702772442,0.7515833799049423,Adult1
1.0245382519299575,3786,3906,12618.359000000055,13021.716000000015,403.35699999995995,-621.3605690002441,-28.240410089492798,0.0,0.0,0.11918693169791873,0.030155827402448612,0.2800593878112918,0.5143766815976956,Adult1
1.0245382519299575,3915,4116,13048.369999999995,13721.592999999993,673.2229999999981,-560.1638031005859,-33.366481661796556,0.0,0.0,0.11924849416740242,0.0297070107001309,0.2723041675789209,0.4639776948201258,Adult1
1.0245382519299575,4124,4211,13744.894000000088,14038.181000000099,293.2870000000112,-592.5259923934937,-36.33573532104492,0.0,0.0,0.12194168749470297,0.028771470027172792,0.25315111354210384,0.3773527205163788,Adult1
1.0245382519299575,4218,4420,14058.207000000053,14734.803000000073,676.5960000000196,-525.759015083313,-29.439228773117065,0.0,0.0,0.11945423176569493,0.1089352548305006,0.5945034833278581,0.49392195395808314,Adult1
1.0245382519299575,4433,4462,14774.782000000007,14874.777000000002,99.99499999999534,-521.2749981880188,-26.508244872093215,0.0,0.0,0.11765475186792794,0.02568723258608709,0.17968978989097045,0.36477497340955223,Adult1
1.0245382519299575,4527,4625,15088.100000000093,15417.999000000069,329.8989999999758,-315.1435089111328,-6.265087723731995,0.0,0.0,0.13125624082399406,0.027602505350021345,0.2629474275132186,0.42078479516989553,Adult1
1.0245382519299575,4634,5078,15444.644000000088,16927.840000000084,1483.1959999999963,12.195453643798885,-24.830442667007446,0.0,0.0,0.2162737042728303,0.35020200523450395,1.5460579747075396,0.9292046653649683,Adult1
1.0245382519299575,5085,5445,16947.88500000001,18151.01000000001,1203.125,46.5117073059082,-25.6999933719635,0.0,0.0,0.19385475844640127,0.08321569606858671,0.4568560125681601,0.8004675916616936,Adult1
