Unnamed: 0,Subject,Event,TrialN,mean_pupil,time
112,Subject_1,Circle,4,0.387323698002694,1550
113,Subject_1,Circle,4,0.316502568004634,1600
114,Subject_1,Circle,4,0.283938642411098,1650
115,Subject_1,Circle,4,0.234816344610546,1700
116,Subject_1,Circle,4,0.206092554359555,1750
117,Subject_1,Circle,4,0.206092554359555,1800
118,Subject_1,Circle,4,0.206092554359555,1850
119,Subject_1,Circle,4,0.206092554359555,1900
120,Subject_1,Circle,4,0.206092554359555,1950
121,Subject_1,Simple,5,-0.0131071393827531,0
122,Subject_1,Simple,5,-0.0427441620960316,50
123,Subject_1,Simple,5,-0.0704469507499801,100
124,Subject_1,Simple,5,-0.101499243307397,150
125,Subject_1,Simple,5,-0.132551535864815,200
126,Subject_1,Simple,5,-0.163603828422232,250
127,Subject_1,Simple,5,-0.19465612097965,300
128,Subject_1,Simple,5,-0.225708413537067,350
129,Subject_1,Simple,5,-0.256760706094484,400
130,Subject_1,Simple,5,-0.287812998651901,450
131,Subject_1,Simple,5,-0.319773903014052,500
132,Subject_1,Simple,5,-0.374507334470013,550
133,Subject_1,Simple,5,-0.408230552146732,600
134,Subject_1,Simple,5,-0.427530714108538,650
135,Subject_1,Simple,5,-0.450383594639581,700
136,Subject_1,Simple,5,-0.434555887322654,750
137,Subject_1,Simple,5,-0.429746924385465,800
138,Subject_1,Simple,5,-0.4119976653605,850
139,Subject_1,Simple,5,-0.401151141331148,900
140,Subject_1,Simple,5,-0.400628440997609,950
141,Subject_1,Simple,5,-0.365549519843642,1000
142,Subject_1,Simple,5,-0.316785808751351,1050
143,Subject_1,Simple,5,-0.280741600935186,1100
144,Subject_1,Simple,5,-0.259051790740361,1150
145,Subject_1,Simple,5,-0.193794913042626,1200
146,Subject_1,Simple,5,-0.171690938722783,1250
147,Subject_1,Simple,5,-0.127612707293116,1300
148,Subject_1,Simple,5,-0.071442474906557,1350
149,Subject_1,Simple,5,0.0208459201688584,1400
150,Subject_1,Simple,5,0.0624092432467966,1450
151,Subject_1,Simple,5,0.061755555169948,1500
